Date;Agrupamento;GGR;Custo Freespin;Jogadores;ARPU;Novos Jogadores;Novos;Turnover;Margem;Rounds per Player;Qtd Rollback;Valor Rollback;Margem
2025-01-01;Pragmatic Play;4006619,19;324,0;71227;56,25;920;0,0129;69502163,0;0,0576;8,73;1331;2451,0;0,0576
2025-01-02;Pragmatic Play;2826998,78;2647,0;59355;47,63;1504;0,0253;48495063,0;0,0583;7,76;589;1942,0;0,0583
2025-02-07;PG Soft;976883,93;0,0;55211;17,69;2727;0,0494;28137298,0;0,0347;4,38;2885;5057,0;0,0347
2025-01-02;PG Soft;642886,05;0,0;46127;13,94;2349;0,0509;27808123,0;0,0231;4,69;511;662,0;0,0231
2025-01-08;PG Soft;1000625,86;0,0;50866;19,67;3115;0,0612;27496457,0;0,0364;4,73;881;1282,0;0,0364
2025-03-06;PG Soft;975423,68;0,0;51818;18,82;2072;0,04;26491713,0;0,0368;5,95;1081;2387,0;0,0368
2025-04-05;PG Soft;824943,12;0,0;50498;16,34;2561;0,0507;26379060,0;0,0313;4,03;1799;3043,0;0,0313
2025-02-08;PG Soft;961279,71;0,0;52701;18,24;2620;0,0497;26262317,0;0,0366;4,45;2796;4225,0;0,0366
2025-01-03;PG Soft;1061737,7;0,0;46676;22,75;1702;0,0365;26232809,0;0,0405;4,73;543;791,0;0,0405
2025-04-04;PG Soft;596508,57;0,0;49649;12,01;2237;0,0451;25810471,0;0,0231;3,97;1980;3144,0;0,0231
2025-03-01;PG Soft;574104,89;0,0;50665;11,33;1787;0,0353;24874878,0;0,0231;3,84;1027;1456,0;0,0231
2025-01-07;PG Soft;824779,83;0,0;48791;16,9;2954;0,0605;24781682,0;0,0333;4,76;536;675,0;0,0333
2025-02-06;PG Soft;703116,99;0,0;50276;13,99;2875;0,0572;24713555,0;0,0285;4,15;2008;3312,0;0,0285
2025-02-05;PG Soft;743978,34;0,0;48826;15,24;2950;0,0604;23878287,0;0,0312;4,2;2147;3485,0;0,0312
2025-06-06;PG Soft;832509,91;0,0;47596;17,49;2692;0,0566;23557697,0;0,0353;3,72;1154;2444,0;0,0353
2025-03-07;PG Soft;562904,72;0,0;44286;12,71;1500;0,0339;23189788,0;0,0243;7,69;954;1651,0;0,0243
2025-01-04;PG Soft;1036572,34;0,0;44332;23,38;1932;0,0436;23154680,0;0,0448;4,67;689;1075,0;0,0448
2025-01-09;PG Soft;676272,04;0,0;41827;16,17;2020;0,0483;23071750,0;0,0293;4,59;476;705,0;0,0293
2025-01-31;PG Soft;706064,59;0,0;49067;14,39;2249;0,0458;23007616,0;0,0307;4,25;1306;2100,0;0,0307
2025-02-28;PG Soft;691902,21;0,0;55492;12,47;1606;0,0289;22795363,0;0,0304;3,59;1021;1721,0;0,0304
2025-04-17;PG Soft;822583,23;0,0;52838;15,57;1976;0,0374;22269307,0;0,0369;3,58;4000;6989,0;0,0369
2025-02-09;PG Soft;685377,52;0,0;44696;15,33;2534;0,0567;22233572,0;0,0308;4,34;1224;1855,0;0,0308
2025-02-01;PG Soft;893764,98;0,0;50184;17,81;3186;0,0635;22190742,0;0,0403;4,15;1603;2428,0;0,0403
2025-02-10;PG Soft;742914,1;0,0;44936;16,53;2051;0,0456;22069888,0;0,0337;4,38;1354;2389,0;0,0337
2025-01-10;PG Soft;689058,8;0,0;43082;15,99;1829;0,0425;22066575,0;0,0312;4,64;1395;2071,0;0,0312
2025-02-21;PG Soft;687483,21;0,0;45015;15,27;1928;0,0428;21937922,0;0,0313;4,15;565;1416,0;0,0313
2025-01-06;PG Soft;682231,56;0,0;41655;16,38;2151;0,0516;21917537,0;0,0311;4,47;720;1443,0;0,0311
2025-01-11;PG Soft;787554,96;0,0;41854;18,82;2168;0,0518;21800763,0;0,0361;4,58;658;973,0;0,0361
